GeneID	Length
LOC117804824	365
LOC117804827	3214
LOC117804828	4550
LOC117804834	641
LOC117804835	3754
LOC117804839	1607
LOC117804842	4026
LOC117804843	3140
LOC117804844	2277
LOC117804845	2486
LOC117804846	2084
LOC117804847	1104
LOC117804848	2904
LOC117804850	991
LOC117804851	441
LOC117804852	947
LOC117804853	1477
LOC117804854	604
LOC117804856	986
LOC117804857	253
LOC117804858	537
LOC117804859	421
LOC117804860	537
LOC117804861	1305
LOC117804862	810
LOC117804869	188
LOC117804871	966
LOC117804883	1537
LOC117804885	739
LOC117804888	509
LOC117804890	6388
LOC117804892	1293
LOC117804899	1987
LOC117804905	5032
LOC117804908	481
LOC117804915	461
LOC117804916	2021
LOC117804917	581
LOC117804918	4765
LOC117804919	5025
LOC117804920	703
LOC117804921	1892
LOC117804922	1681
LOC117804923	1016
LOC117804924	460
LOC117804925	425
LOC117804926	228
LOC117804929	530
LOC117804937	1574
LOC117804938	952
LOC117804939	555
LOC117804942	1095
LOC117804944	3429
LOC117804955	3563
LOC117804958	1197
LOC117804959	797
LOC117804960	1750
LOC117804962	998
LOC117804968	2496
LOC117804971	2588
LOC117804979	239
LOC117804982	472
LOC117804986	1033
LOC117804989	3441
LOC117804991	333
LOC117804996	403
LOC117804999	2581
LOC117805000	18691
LOC117805003	2139
LOC117805004	2094
LOC117805008	3690
LOC117805009	2754
LOC117805014	5932
LOC117805015	3957
LOC117805017	1721
LOC117805028	3380
LOC117805030	2232
LOC117805033	7789
LOC117805035	5799
LOC117805038	11216
LOC117805039	828
LOC117805042	6255
LOC117805043	1602
LOC117805044	2895
LOC117805046	1313
LOC117805048	1628
LOC117805052	876
LOC117805056	3328
LOC117805057	4805
LOC117805059	3932
LOC117805064	2299
LOC117805065	1716
LOC117805067	691
LOC117805075	1381
LOC117805079	2159
LOC117805080	2565
LOC117805081	3098
LOC117805082	2905
LOC117805083	462
LOC117805084	1509
LOC117805088	1103
LOC117805089	1169
LOC117805091	849
LOC117805101	428
LOC117805107	597
LOC117805109	3227
LOC117805110	2140
LOC117805114	3083
LOC117805130	1978
LOC117805131	3135
LOC117805134	1659
LOC117805135	1099
LOC117805138	1392
LOC117805140	1739
LOC117805149	3656
LOC117805156	875
LOC117805157	583
LOC117805160	7828
LOC117805165	352
LOC117805168	601
LOC117805170	1222
LOC117805172	2144
LOC117805176	7830
LOC117805178	1160
LOC117805179	858
LOC117805184	729
LOC117805187	2206
LOC117805190	1828
LOC117805193	4326
LOC117805194	1099
LOC117805195	3141
LOC117805196	760
LOC117805197	1888
LOC117805200	2765
LOC117805204	2079
LOC117805205	1409
LOC117805210	3264
LOC117805211	1433
LOC117805212	461
LOC117805214	3394
LOC117805217	455
LOC117805219	399
LOC117805220	1876
LOC117805221	3868
LOC117805222	746
LOC117805223	1387
LOC117805224	1746
LOC117805225	707
LOC117805226	1566
LOC117805227	1407
LOC117805231	1288
LOC117805233	2133
LOC117805234	911
LOC117805235	715
LOC117805236	901
LOC117805237	1555
LOC117805240	890
LOC117805241	932
LOC117805243	1484
LOC117805246	387
LOC117805247	1279
LOC117805256	475
LOC117805257	5945
LOC117805259	1902
LOC117805260	718
LOC117805261	480
LOC117805262	461
LOC117805263	541
LOC117805264	493
LOC117805265	444
LOC117805266	797
LOC117805267	512
LOC117805268	380
LOC117805269	557
LOC117805270	411
LOC117805271	1579
LOC117805275	6253
LOC117805276	564
LOC117805278	1019
LOC117805283	348
LOC117805285	216
LOC117805286	900
LOC117805288	2902
LOC117805289	1129
LOC117805291	1012
LOC117805295	724
LOC117805296	1465
LOC117805297	1201
LOC117805298	847
LOC117805302	758
LOC117805304	643
LOC117805305	990
LOC117805308	1357
LOC117805310	1102
LOC117805317	729
LOC117805318	7149
LOC117805319	4761
LOC117805320	896
LOC117805321	3068
LOC117805322	260
LOC117805326	547
LOC117805332	468
LOC117805333	702
LOC117805334	2464
LOC117805335	1897
LOC117805343	2457
LOC117805348	1611
LOC117805349	500
LOC117805350	274
LOC117805351	1962
LOC117805352	269
LOC117805353	1845
LOC117805357	2703
LOC117805358	3590
LOC117805359	6334
LOC117805361	506
LOC117805363	5916
LOC117805364	9988
LOC117805365	2568
LOC117805366	7246
LOC117805368	429
LOC117805372	2970
LOC117805375	995
LOC117805377	2862
LOC117805380	1565
LOC117805382	489
LOC117805386	2302
LOC117805387	2443
LOC117805388	2934
LOC117805389	3129
LOC117805390	1851
LOC117805391	1638
LOC117805392	465
LOC117805393	784
LOC117805394	494
LOC117805395	7150
LOC117805405	3111
LOC117805406	1197
LOC117805407	641
LOC117805410	1842
LOC117805413	2561
LOC117805414	1545
LOC117805418	800
LOC117805424	3882
LOC117805425	5046
LOC117805427	1336
LOC117805430	2353
LOC117805431	1986
LOC117805432	950
LOC117805433	3211
LOC117805434	6467
LOC117805438	2741
LOC117805440	1735
LOC117805441	3063
LOC117805442	2063
LOC117805444	967
LOC117805445	1777
LOC117805447	2705
LOC117805448	2675
LOC117805449	3518
LOC117805450	445
LOC117805451	1137
LOC117805452	4889
LOC117805453	1261
LOC117805454	1957
LOC117805456	2239
LOC117805457	1865
LOC117805458	5431
LOC117805459	882
LOC117805460	1753
LOC117805461	2655
LOC117805462	1247
LOC117805463	4940
LOC117805464	4630
LOC117805466	2118
LOC117805467	1821
LOC117805468	1443
LOC117805469	1242
LOC117805470	5315
LOC117805472	817
LOC117805473	3150
LOC117805475	839
LOC117805476	4604
LOC117805478	3214
LOC117805479	2195
LOC117805480	1109
LOC117805481	466
LOC117805485	2218
LOC117805486	4859
LOC117805488	552
LOC117805489	119
LOC117805490	119
LOC117805492	119
LOC117805493	119
LOC117805494	119
LOC117805495	119
LOC117805496	119
LOC117805497	119
LOC117805498	119
LOC117805499	119
LOC117805500	119
LOC117805508	119
LOC117805511	132
LOC117805512	132
LOC117805513	201
LOC117805514	201
LOC117805515	119
LOC117805516	119
LOC117805517	119
LOC117805518	119
LOC117805519	119
LOC117805520	119
LOC117805521	119
LOC117805522	119
LOC117805523	119
LOC117805524	119
LOC117805525	119
LOC117805526	119
LOC117805527	119
LOC117805528	119
LOC117805529	119
LOC117805530	119
LOC117805531	119
LOC117805532	119
LOC117805534	119
LOC117805535	119
LOC117805536	119
LOC117805537	119
LOC117805538	119
LOC117805539	119
LOC117805540	119
LOC117805541	119
LOC117805542	119
LOC117805543	119
LOC117805544	119
LOC117805545	119
LOC117805546	119
LOC117805547	119
LOC117805548	119
LOC117805550	119
LOC117805551	119
LOC117805552	119
LOC117805553	119
LOC117805554	119
LOC117805555	119
LOC117805556	119
LOC117805557	119
LOC117805558	119
LOC117805559	119
LOC117805560	119
LOC117805561	119
LOC117805562	119
LOC117805563	119
LOC117805591	1977
LOC117805633	1146
LOC117805718	1551
LOC117805719	6160
LOC117805721	571
LOC117805725	4597
LOC117805727	512
LOC117805728	10265
LOC117805729	2149
LOC117805730	2453
LOC117805731	5773
LOC117805732	2132
LOC117805734	1890
LOC117805735	1325
LOC117805736	1158
LOC117805737	10314
LOC117805738	5092
LOC117805740	2470
LOC117805741	288
LOC117805743	3641
LOC117805745	834
LOC117805746	4860
LOC117805749	10508
LOC117805750	3453
LOC117805751	4800
LOC117805753	1604
LOC117805754	584
LOC117805755	2666
LOC117805760	2109
LOC117805762	2120
LOC117805767	1922
LOC117805768	2746
LOC117805769	516
LOC117805770	1170
LOC117805776	900
LOC117805777	4101
LOC117805779	3634
LOC117805780	1488
LOC117805781	793
LOC117805782	1854
LOC117805786	4788
LOC117805790	2913
LOC117805792	949
LOC117805793	3057
LOC117805796	1485
LOC117805797	5216
LOC117805799	239
LOC117805803	2210
LOC117805806	233
LOC117805807	2606
LOC117805809	461
LOC117805814	4546
LOC117805816	1783
LOC117805822	323
LOC117805823	3320
LOC117805824	4586
LOC117805825	721
LOC117805826	567
LOC117805827	4398
LOC117805828	769
LOC117805835	3845
LOC117805838	2230
LOC117805839	646
LOC117805840	909
LOC117805842	3259
LOC117805847	2693
LOC117805848	1545
LOC117805852	4024
LOC117805855	371
LOC117805856	393
LOC117805865	5384
LOC117805867	941
LOC117805868	1859
LOC117805870	3160
LOC117805872	1726
LOC117805873	1421
LOC117805874	1890
LOC117805875	1694
LOC117805876	825
LOC117805877	3947
LOC117805883	2643
LOC117805884	772
LOC117805889	3878
LOC117805890	850
LOC117805894	223
LOC117805896	3659
LOC117805897	2606
LOC117805899	3743
LOC117805900	1627
LOC117805901	913
LOC117805902	2421
LOC117805905	1461
LOC117805906	15934
LOC117805913	1903
LOC117805915	3571
LOC117805918	957
LOC117805919	2817
LOC117805920	1891
LOC117805928	1231
LOC117805929	1000
LOC117805935	1934
LOC117805940	2726
LOC117805946	3407
LOC117805949	1615
LOC117805954	1327
LOC117805958	2843
LOC117805959	1233
LOC117805962	1802
LOC117805965	370
LOC117805967	1289
LOC117805974	1720
LOC117805975	1735
LOC117805976	1306
LOC117805978	567
LOC117805979	643
LOC117805980	1039
LOC117805981	623
LOC117805982	620
LOC117805983	673
LOC117805984	752
LOC117805985	815
LOC117805986	423
LOC117805987	492
LOC117805989	504
LOC117805990	392
LOC117805991	1624
LOC117805992	798
LOC117805993	748
LOC117805994	1019
LOC117805995	6297
LOC117805996	3535
LOC117805997	2074
LOC117806001	3553
LOC117806008	774
LOC117806009	722
LOC117806012	3166
LOC117806016	512
LOC117806020	1675
LOC117806021	2220
LOC117806023	6315
LOC117806024	750
LOC117806025	3011
LOC117806026	1617
LOC117806027	331
LOC117806028	5289
LOC117806031	1481
LOC117806032	1345
LOC117806034	619
LOC117806035	2119
LOC117806038	415
LOC117806040	1640
LOC117806041	1266
LOC117806046	717
LOC117806047	3180
LOC117806051	4346
LOC117806052	1144
LOC117806057	1355
LOC117806060	1373
LOC117806061	2098
LOC117806065	1070
LOC117806067	568
LOC117806068	1241
LOC117806070	2880
LOC117806071	2558
LOC117806072	1774
LOC117806074	349
LOC117806076	2243
LOC117806078	1934
LOC117806085	2861
LOC117806087	1188
LOC117806088	3451
LOC117806090	4864
LOC117806092	2796
LOC117806093	1996
LOC117806094	5507
LOC117806096	1481
LOC117806097	2835
LOC117806098	1766
LOC117806104	5730
LOC117806106	4100
LOC117806108	768
LOC117806113	707
LOC117806116	2048
LOC117806117	1192
LOC117806122	1365
LOC117806126	3087
LOC117806129	2083
LOC117806130	3339
LOC117806131	617
LOC117806133	314
LOC117806134	4732
LOC117806135	7366
LOC117806137	3378
LOC117806140	735
LOC117806142	4914
LOC117806143	1666
LOC117806151	551
LOC117806158	3812
LOC117806160	3541
LOC117806163	1316
LOC117806166	3032
LOC117806169	800
LOC117806172	2779
LOC117806178	406
LOC117806179	306
LOC117806180	6146
LOC117806182	3960
LOC117806184	5070
LOC117806188	1262
LOC117806189	2361
LOC117806190	548
LOC117806192	912
LOC117806194	5310
LOC117806195	842
LOC117806196	4221
LOC117806198	1332
LOC117806199	2660
LOC117806205	4385
LOC117806207	1064
LOC117806219	2179
LOC117806220	3026
LOC117806222	7290
LOC117806223	3851
LOC117806224	3537
LOC117806226	3048
LOC117806227	4487
LOC117806230	2214
LOC117806231	2027
LOC117806232	3881
LOC117806233	2543
LOC117806234	2220
LOC117806240	867
LOC117806242	3133
LOC117806245	551
LOC117806247	1136
LOC117806249	358
LOC117806251	771
LOC117806252	3512
LOC117806254	2522
LOC117806257	1337
LOC117806258	2139
LOC117806261	4294
LOC117806277	1296
LOC117806278	8801
LOC117806282	3314
LOC117806284	1652
LOC117806286	5406
LOC117806290	651
LOC117806292	379
LOC117806293	1471
LOC117806294	1615
LOC117806295	1628
LOC117806300	3021
LOC117806303	1764
LOC117806305	1041
LOC117806306	15581
LOC117806312	2200
LOC117806314	751
LOC117806317	1505
LOC117806320	752
LOC117806326	1420
LOC117806327	1023
LOC117806328	2232
LOC117806332	7124
LOC117806339	585
LOC117806340	4215
LOC117806341	372
LOC117806343	4752
LOC117806344	649
LOC117806346	1707
LOC117806348	2620
LOC117806352	2735
LOC117806353	2523
LOC117806354	2032
LOC117806357	3776
LOC117806361	967
LOC117806362	4200
LOC117806366	2104
LOC117806370	1584
LOC117806374	1723
LOC117806377	2152
LOC117806379	1546
LOC117806380	2649
LOC117806387	1122
LOC117806389	4118
LOC117806390	586
LOC117806391	561
LOC117806394	420
LOC117806395	1391
LOC117806396	1304
LOC117806399	948
LOC117806401	2432
LOC117806402	919
LOC117806404	1340
LOC117806408	5375
LOC117806409	2388
LOC117806411	3442
LOC117806412	2241
LOC117806415	2320
LOC117806420	2449
LOC117806424	7542
LOC117806425	2047
LOC117806426	4127
LOC117806427	5110
LOC117806428	2958
LOC117806431	183
LOC117806432	1488
LOC117806433	469
LOC117806434	3269
LOC117806436	372
LOC117806437	3739
LOC117806440	6393
LOC117806441	828
LOC117806442	3570
LOC117806444	820
LOC117806445	1799
LOC117806446	2942
LOC117806455	4618
LOC117806457	1069
LOC117806459	1792
LOC117806460	912
LOC117806461	811
LOC117806462	805
LOC117806463	643
LOC117806465	6141
LOC117806466	1888
LOC117806469	808
LOC117806470	2452
LOC117806474	1473
LOC117806475	1094
LOC117806476	618
LOC117806477	468
LOC117806480	1266
LOC117806481	1313
LOC117806483	1819
LOC117806486	1502
LOC117806488	828
LOC117806490	3536
LOC117806494	354
LOC117806498	1453
LOC117806499	2455
LOC117806502	627
LOC117806503	915
LOC117806505	1015
LOC117806507	630
LOC117806515	1290
LOC117806517	3392
LOC117806519	1845
LOC117806520	2209
LOC117806521	375
LOC117806522	538
LOC117806523	720
LOC117806524	560
LOC117806525	395
LOC117806526	474
LOC117806527	868
LOC117806530	1713
LOC117806531	516
LOC117806532	534
LOC117806534	474
LOC117806535	487
LOC117806537	414
LOC117806538	402
LOC117806540	443
LOC117806541	458
LOC117806543	2277
LOC117806547	4812
LOC117806548	3324
LOC117806550	895
LOC117806551	1647
LOC117806552	1053
LOC117806554	6209
LOC117806556	1661
LOC117806564	527
LOC117806565	816
LOC117806568	3027
LOC117806569	1495
LOC117806570	583
LOC117806572	354
LOC117806574	1229
LOC117806577	878
LOC117806578	3108
LOC117806587	459
LOC117806588	3168
LOC117806589	654
LOC117806592	1348
LOC117806594	1922
LOC117806596	703
LOC117806602	2971
LOC117806607	716
LOC117806609	596
LOC117806614	5063
LOC117806619	1211
LOC117806620	2555
LOC117806621	854
LOC117806623	1655
LOC117806627	481
LOC117806628	1182
LOC117806629	1666
LOC117806630	1428
LOC117806633	1261
LOC117806636	1169
LOC117806638	462
LOC117806641	8603
LOC117806642	1451
LOC117806645	4878
LOC117806647	1587
LOC117806654	4665
LOC117806655	582
LOC117806657	6985
LOC117806658	2557
LOC117806663	5373
LOC117806664	554
LOC117806676	3033
LOC117806679	1224
LOC117806682	5364
LOC117806685	11120
LOC117806690	401
LOC117806692	386
LOC117806695	5418
LOC117806700	5437
LOC117806701	365
LOC117806702	1292
LOC117806711	2208
LOC117806721	751
LOC117806722	581
LOC117806723	406
LOC117806724	435
LOC117806727	2041
LOC117806729	8783
LOC117806730	7159
LOC117806731	429
LOC117806733	1813
LOC117806734	3666
LOC117806737	2973
LOC117806741	3266
LOC117806742	1964
LOC117806744	1854
LOC117806745	1113
LOC117806756	646
LOC117806759	366
LOC117806761	1819
LOC117806762	661
LOC117806768	5213
LOC117806775	2074
LOC117806778	1028
LOC117806779	3675
LOC117806780	708
LOC117806781	226
LOC117806782	3176
LOC117806787	592
LOC117806788	894
LOC117806789	572
LOC117806790	1035
LOC117806795	2746
LOC117806796	1469
LOC117806813	8578
LOC117806814	1989
LOC117806815	501
LOC117806817	981
LOC117806819	3723
LOC117806821	2749
LOC117806825	1859
LOC117806830	1013
LOC117806833	206
LOC117806835	3271
LOC117806837	1708
LOC117806838	332
LOC117806841	648
LOC117806852	1874
LOC117806855	1547
LOC117806856	2602
LOC117806862	467
LOC117806864	2594
LOC117806869	162
LOC117806870	107
LOC117806871	107
LOC117806872	107
LOC117806873	107
LOC117806874	107
LOC117806875	207
LOC117806876	107
LOC117806877	107
LOC117806878	107
LOC117806879	107
LOC117806880	81
LOC117806881	81
LOC117806882	81
LOC117806883	77
LOC117806884	73
LOC117806885	71
LOC117806886	207
LOC117806887	73
LOC117806888	2096
LOC117806889	71
LOC117806890	207
LOC117806891	207
LOC117806892	207
LOC117806893	207
LOC117806894	207
LOC117806895	207
LOC117806896	207
LOC117806897	207
LOC117806898	207
LOC117806899	207
LOC117806900	207
LOC117806901	207
LOC117806902	207
LOC117806903	211
LOC117806905	207
LOC117806906	207
LOC117806907	207
LOC117806908	207
LOC117806909	207
LOC117806910	207
LOC117806911	207
LOC117806912	207
LOC117806913	207
LOC117806914	207
LOC117806915	207
LOC117806917	208
LOC117806919	107
LOC117806920	107
LOC117806921	207
LOC117806922	107
LOC117806923	107
LOC117806924	107
LOC117806925	107
LOC117806926	107
LOC117806927	107
LOC117806928	107
LOC117806929	107
LOC117806930	658
LOC117806931	107
LOC117806932	107
LOC117806933	207
LOC117806934	107
LOC117806935	107
LOC117806936	107
LOC117806937	107
LOC117806938	107
LOC117806956	455
LOC117806959	8500
LOC117806960	298
LOC117806965	1521
LOC117806966	1064
LOC117806969	2882
LOC117806970	1151
LOC117806971	2413
LOC117806972	1958
LOC117806974	5511
LOC117806975	1672
LOC117806976	3014
LOC117806981	1930
LOC117806984	694
LOC117806986	2317
LOC117806988	1387
LOC117806989	4337
LOC117806990	2248
LOC117806992	403
LOC117806993	1410
LOC117806995	599
LOC117806999	395
LOC117807000	1093
LOC117807001	1830
LOC117807002	338
LOC117807005	3824
LOC117807006	6058
LOC117807007	17864
LOC117807009	1328
LOC117807011	1919
LOC117807012	1475
LOC117807014	2230
LOC117807018	3894
LOC117807019	1270
LOC117807020	1062
LOC117807021	1553
LOC117807022	499
LOC117807023	358
LOC117807024	302
LOC117807025	493
LOC117807026	1371
LOC117807030	1998
LOC117807031	1286
LOC117807032	1373
LOC117807033	1302
LOC117807034	1390
LOC117807036	993
LOC117807040	178
LOC117807041	3593
LOC117807043	1307
LOC117807047	4077
LOC117807049	1245
LOC117807050	1250
LOC117807052	1646
LOC117807053	1760
LOC117807055	2397
LOC117807057	2052
LOC117807058	1115
LOC117807059	1224
LOC117807060	888
LOC117807061	3988
LOC117807064	5297
LOC117807066	465
LOC117807067	428
LOC117807070	254
LOC117807071	199
LOC117807073	3114
LOC117807074	2520
LOC117807077	3852
LOC117807081	7099
LOC117807082	1909
LOC117807083	560
LOC117807085	1379
LOC117807086	2945
LOC117807087	2430
LOC117807088	3482
LOC117807089	2295
LOC117807091	824
LOC117807093	3033
LOC117807094	3820
LOC117807095	2063
LOC117807096	1791
LOC117807097	1105
LOC117807098	1913
LOC117807100	1204
LOC117807101	1286
LOC117807103	1792
LOC117807104	5913
LOC117807106	4342
LOC117807107	2114
LOC117807110	2184
LOC117807111	491
LOC117807113	1195
LOC117807114	1037
LOC117807115	2046
LOC117807117	1370
LOC117807118	1168
LOC117807119	3049
LOC117807120	1305
LOC117807121	2937
LOC117807129	3795
LOC117807131	754
LOC117807134	6637
LOC117807135	3742
LOC117807136	2922
LOC117807137	3636
LOC117807140	1770
LOC117807143	4800
LOC117807144	7199
LOC117807145	2246
LOC117807146	5410
LOC117807147	760
LOC117807150	8185
LOC117807151	7191
LOC117807152	356
LOC117807156	562
LOC117807157	353
LOC117807163	222
LOC117807165	2249
LOC117807166	1733
LOC117807167	2532
LOC117807170	746
LOC117807171	723
LOC117807172	1103
LOC117807175	2066
LOC117807176	454
LOC117807178	3166
LOC117807180	2569
LOC117807181	4863
LOC117807182	4571
LOC117807185	265
LOC117807187	594
LOC117807190	5572
LOC117807191	1760
LOC117807192	3380
LOC117807193	890
LOC117807194	799
LOC117807196	2069
LOC117807197	3386
LOC117807198	2142
LOC117807201	1098
LOC117807205	936
LOC117807209	2200
LOC117807211	3281
LOC117807219	15209
LOC117807220	10392
LOC117807230	4378
LOC117807235	1318
LOC117807237	2598
LOC117807238	2542
LOC117807240	1054
LOC117807248	5883
LOC117807251	1152
LOC117807252	703
LOC117807253	233
LOC117807258	1469
LOC117807262	2754
LOC117807272	1728
LOC117807273	5101
LOC117807278	3060
LOC117807279	553
LOC117807280	2721
LOC117807284	9847
LOC117807286	820
LOC117807289	6436
LOC117807291	822
LOC117807293	958
LOC117807294	2976
LOC117807302	376
LOC117807303	660
LOC117807304	2228
LOC117807305	767
LOC117807306	1235
LOC117807313	4591
LOC117807319	1589
LOC117807321	928
LOC117807322	2181
LOC117807323	5707
LOC117807324	5302
LOC117807325	1324
LOC117807326	10281
LOC117807327	884
LOC117807328	6885
LOC117807329	7019
LOC117807332	1355
LOC117807334	4970
LOC117807338	856
LOC117807341	8132
LOC117807345	482
LOC117807347	4153
LOC117807349	1859
LOC117807351	11516
LOC117807353	1001
LOC117807356	534
LOC117807357	2368
LOC117807359	633
LOC117807360	7670
LOC117807361	1414
LOC117807363	2433
LOC117807366	636
LOC117807370	4595
LOC117807374	5091
LOC117807376	4895
LOC117807379	1280
LOC117807381	3211
LOC117807387	1273
LOC117807391	1534
LOC117807393	1767
LOC117807394	8506
LOC117807395	2180
LOC117807396	1910
LOC117807399	2976
LOC117807400	3105
LOC117807402	290
LOC117807403	5577
LOC117807405	2267
LOC117807408	1736
LOC117807409	859
LOC117807412	1324
LOC117807416	1112
LOC117807417	3002
LOC117807418	1404
LOC117807419	1561
LOC117807423	1316
LOC117807426	1169
LOC117807429	1084
LOC117807432	8748
LOC117807433	2430
LOC117807434	998
LOC117807435	2120
LOC117807441	1444
LOC117807446	888
LOC117807448	754
LOC117807450	751
LOC117807451	882
LOC117807453	2513
LOC117807454	1942
LOC117807455	4054
LOC117807458	2139
LOC117807459	2004
LOC117807461	988
LOC117807463	1485
LOC117807467	1123
LOC117807468	945
LOC117807469	1555
LOC117807470	4193
LOC117807471	1440
LOC117807472	1921
LOC117807474	5685
LOC117807475	4674
LOC117807477	1487
LOC117807478	1280
LOC117807479	1165
LOC117807481	3287
LOC117807482	231
LOC117807483	1763
LOC117807486	1959
LOC117807487	2450
LOC117807488	2269
LOC117807489	1394
LOC117807490	1130
LOC117807492	1716
LOC117807493	1356
LOC117807494	2398
LOC117807495	1686
LOC117807496	1746
LOC117807497	599
LOC117807498	2236
LOC117807500	1315
LOC117807502	3813
LOC117807503	1024
LOC117807505	1401
LOC117807506	1654
LOC117807507	12856
LOC117807508	1039
LOC117807509	401
LOC117807510	518
LOC117807511	1399
LOC117807512	951
LOC117807513	1651
LOC117807514	1404
LOC117807515	1361
LOC117807517	1078
LOC117807518	2469
LOC117807520	822
LOC117807521	1282
LOC117807522	1521
LOC117807523	1390
LOC117807526	1114
LOC117807529	871
LOC117807530	1029
LOC117807534	1848
LOC117807535	2037
LOC117807536	1120
LOC117807537	9420
LOC117807540	1127
LOC117807541	1549
LOC117807543	1107
LOC117807544	593
LOC117807545	1100
LOC117807546	2654
LOC117807547	2074
LOC117807548	1793
LOC117807549	656
LOC117807550	1300
LOC117807551	1657
LOC117807552	1038
LOC117807553	699
LOC117807554	1295
LOC117807556	1725
LOC117807557	461
LOC117807559	625
LOC117807560	2039
LOC117807562	1608
LOC117807563	1589
LOC117807564	4379
LOC117807566	1928
LOC117807567	217
LOC117807568	776
LOC117807569	1594
LOC117807570	3316
LOC117807574	1078
LOC117807576	1186
LOC117807579	1819
LOC117807581	2041
LOC117807585	1623
LOC117807586	1699
LOC117807587	232
LOC117807589	1136
LOC117807590	994
LOC117807591	570
LOC117807596	915
LOC117807597	1770
LOC117807602	958
LOC117807603	2435
LOC117807606	1960
LOC117807607	3941
LOC117807608	363
LOC117807609	351
LOC117807610	546
LOC117807611	626
LOC117807612	344
LOC117807613	1566
LOC117807614	1177
LOC117807615	726
LOC117807616	2650
LOC117807617	1274
LOC117807619	1919
LOC117807620	1973
LOC117807623	1751
LOC117807624	1266
LOC117807625	2136
LOC117807626	1292
LOC117807627	4656
LOC117807628	987
LOC117807629	570
LOC117807630	2086
LOC117807631	1573
LOC117807632	2319
LOC117807633	4679
LOC117807635	1959
LOC117807639	1350
LOC117807640	1001
LOC117807641	848
LOC117807645	6045
LOC117807647	510
LOC117807653	364
LOC117807656	1969
LOC117807657	2248
LOC117807660	4352
LOC117807661	3089
LOC117807662	2789
LOC117807665	1308
LOC117807667	1283
LOC117807668	1473
LOC117807669	5386
LOC117807673	1653
LOC117807674	1749
LOC117807677	2548
LOC117807678	4364
LOC117807684	147
LOC117807687	10350
LOC117807689	4532
LOC117807695	1304
LOC117807697	8536
LOC117807698	1072
LOC117807699	717
LOC117807703	1927
LOC117807705	2730
LOC117807707	1233
LOC117807708	4510
LOC117807711	513
LOC117807715	1960
LOC117807716	497
LOC117807717	989
LOC117807720	1013
LOC117807721	3065
LOC117807724	1459
LOC117807725	5765
LOC117807729	1290
LOC117807730	861
LOC117807732	334
LOC117807738	903
LOC117807739	1416
LOC117807740	2746
LOC117807741	614
LOC117807742	1323
LOC117807743	1258
LOC117807744	742
LOC117807745	1154
LOC117807746	1452
LOC117807747	2068
LOC117807749	2025
LOC117807750	1320
LOC117807751	1155
LOC117807752	1068
LOC117807753	700
LOC117807754	756
LOC117807755	1209
LOC117807756	1111
LOC117807757	150
LOC117807758	842
LOC117807759	749
LOC117807760	1174
LOC117807761	3795
LOC117807762	2064
LOC117807763	986
LOC117807764	924
LOC117807766	1391
LOC117807767	495
LOC117807768	1242
LOC117807769	1265
LOC117807770	865
LOC117807771	873
LOC117807772	3604
LOC117807773	1951
LOC117807775	910
LOC117807776	1742
LOC117807777	561
LOC117807778	1820
LOC117807779	540
LOC117807780	3512
LOC117807781	1800
LOC117807782	1633
LOC117807784	1029
LOC117807786	1005
LOC117807790	3200
LOC117807795	2486
LOC117807796	2201
LOC117807797	4809
LOC117807798	3305
