SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
srp19	778	1064	559	909	728	1330	648	521	634	564	946	927	1086	1677	1001
rsph14	2	7	2	1	3	245	11	9	18	8	4332	3506	2088	1378	589
dmtn	2	3	1	0	0	4	1	1	1	0	43	52	21	65	17
LOC117818681	0	1	0	2	1	12	2	1	7	1	73	104	62	187	79
med27	736	659	710	667	701	663	794	808	766	850	290	368	431	608	338
LOC117818701	0	0	0	1	1	2	0	0	1	0	20	10	26	40	17
LOC117818694	0	1	0	0	2	0	0	0	0	0	3	0	8	0	0
LOC117818693	0	0	0	0	0	2	5	0	0	0	3	1	0	0	4
entr1	7	25	2	4	6	29	10	6	14	9	27	39	63	107	45
chek2	312	176	385	406	556	79	463	320	283	504	136	95	379	1562	507
gstt2	505	432	517	478	546	198	460	693	396	653	77	52	183	235	99
LOC117819643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117818706	0	0	0	0	0	0	0	1	0	0	3	1	3	6	2
LOC117818690	399	301	275	238	222	326	122	52	90	106	503	486	484	638	313
LOC117818705	0	0	0	0	0	8	4	0	2	2	41	43	42	36	15
LOC117818703	0	0	0	0	0	1	0	0	0	0	11	21	16	8	1
LOC117818700	127	244	162	199	109	344	126	121	69	118	1285	1760	571	335	266
LOC117818695	1	3	10	1	11	5	29	2	13	49	18	30	4	57	46
LOC117818684	623	452	427	564	585	289	239	95	99	285	642	506	536	509	242
LOC117818686	5	4	2	3	4	2	4	1	3	1	42	32	99	113	44
cfap77	0	1	1	0	0	145	2	1	1	0	2461	2313	1104	501	317
barhl1a	0	0	0	1	1	1	1	1	1	0	12	9	9	43	9
ddx31	231	119	50	82	128	133	24	68	17	35	91	71	235	233	94
ak8	7	13	50	8	45	219	29	29	18	55	2596	2571	1063	622	290
tsc1a	392	465	265	202	380	237	116	32	30	121	241	316	489	403	210
LOC117818689	14	7	3	9	13	2	3	4	3	20	5	6	6	154	480
dok2	0	3	4	4	2	35	21	13	22	16	20	43	60	69	42
grin1b	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0
LOC117818850	84	65	53	69	82	65	34	54	35	39	113	142	208	192	107
LOC117819294	0	1	0	0	0	9	0	0	0	0	230	302	634	333	86
ciz1b	15	22	37	31	27	41	35	27	38	36	180	169	105	169	67
LOC117819588	1043	894	914	1112	1142	976	515	228	426	664	738	797	1887	2075	1169
LOC117819062	0	3	2	0	1	1	0	0	0	0	13	8	24	78	20
c5	3	0	5	5	3	5	4	8	0	2	12	4	15	73	18
trnaa-agc_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cntrl	28	24	19	42	22	17	63	10	18	28	144	140	138	166	109
trnaa-agc_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnaa-agc_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnas-gcu_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnaa-agc_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnaa-agc_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tti2	170	152	208	161	212	177	172	216	267	280	73	122	193	229	98
LOC117819231	2	0	0	1	0	0	0	0	0	0	3	1	2	12	3
LOC117819139	2	0	1	0	0	1	1	0	4	0	5	3	5	57	32
ppiaa	10768	8773	8039	10550	10008	7848	11911	9213	8387	12024	3405	4087	6832	5475	4805
LOC117818732	669	306	319	349	469	208	163	69	64	174	868	790	674	328	160
ogdha	1438	1019	1251	1018	1396	1020	993	871	739	1293	4143	3292	3995	2482	1474
ercc6l	475	463	464	306	462	268	242	74	52	194	749	707	836	356	258
sdhaf1	194	328	229	230	175	298	238	290	257	199	96	137	173	141	101
nudt18	62	55	76	64	60	45	96	107	92	111	34	46	67	132	66
LOC117819371	0	0	0	0	0	0	0	1	0	0	1	0	0	4	1
lrrc2	1	0	0	5	0	4	3	2	0	0	9	12	18	62	70
mfsd14bb	332	184	117	139	159	550	111	170	126	192	2992	3364	1990	943	703
spinb	639	614	284	288	426	335	89	55	42	137	794	765	1274	898	454
LOC117819663	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC117819664	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
LOC117819662	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1
LOC117819661	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mak16	793	976	477	477	587	830	299	193	201	380	382	440	678	944	498
LOC117818572	496	496	227	169	238	390	116	55	68	135	392	282	436	348	260
si:dkey-220o5.5	5	12	2	2	1	7	6	6	19	6	3	4	10	26	9
LOC117819254	445	338	317	354	356	230	175	85	52	202	257	257	463	298	219
gpsm1a	2	45	5	2	4	2	1	9	9	3	3	2	1	14	5
LOC117818404	0	0	0	0	1	0	0	0	1	0	0	0	3	2	2
cmlc1	0	1	0	0	1	1	0	0	0	0	1	2	1	18	0
LOC117818294	9	12	1	0	1	1	1	0	2	7	3	3	0	37	0
LOC117818548	2	5	3	3	2	18	5	4	12	8	10	20	34	70	21
LOC117819589	0	0	0	4	1	3	3	0	6	0	22	24	57	56	16
LOC117819238	29	31	28	30	39	42	35	20	31	33	544	259	257	162	110
LOC117819237	15	21	76	101	80	39	87	93	37	42	40	31	45	118	27
LOC117818756	60	10	36	29	8	103	9	6	20	14	754	1158	712	335	253
LOC117818929	3	4	3	8	5	79	21	24	33	12	20	46	124	137	87
pomt1	192	143	170	210	174	240	161	60	97	182	958	880	768	419	176
snapc4	191	107	206	156	200	83	116	44	49	153	164	122	270	535	186
card9	1	2	1	2	3	46	39	52	32	12	12	71	52	71	87
wdfy3	52	27	36	22	60	35	18	5	11	43	576	348	319	272	87
ccl19a.2	0	2	0	2	2	8	3	3	7	0	1	1	0	4	5
ccl19a.1	1	1	8	6	5	212	110	410	299	115	22	123	151	261	409
rusc2	150	137	79	75	131	253	24	19	45	35	3349	1866	1031	703	333
LOC117818549	10056	4357	10435	11493	15528	2130	12690	9998	12270	18512	50	6	12	12	4
LOC117818845	14306	6082	15065	15369	14377	2477	15685	15375	24506	18671	74	7	18	19	11
LOC117818846	5420	3381	3473	7661	4986	1198	4204	2634	2060	3398	40	3	5	6	3
LOC117818550	0	0	0	0	0	0	0	0	0	0	3	4	8	25	7
sec14l8	44	44	32	36	49	97	60	49	47	52	121	39	114	144	57
rnf215	58	15	42	42	25	17	22	6	24	25	67	53	56	62	19
slc39a14	60	102	10	11	9	81	8	4	17	4	532	311	398	152	118
trnap-ugg_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117819112	411	342	264	213	322	297	211	109	86	177	1380	1016	1947	631	465
ppil2	1125	1020	1036	941	972	851	717	660	705	841	577	673	658	518	397
LOC117819117	32	57	20	20	24	109	17	24	10	15	195	203	185	252	146
LOC117819118	2	1	1	1	2	2	1	2	1	0	29	15	8	25	4
LOC117819119	0	0	0	0	0	0	0	0	0	0	5	4	0	1	2
mapk1	449	465	214	215	319	631	145	112	88	104	2245	1630	1882	1206	842
grsf1	708	764	710	597	668	711	520	476	284	535	339	237	335	552	279
rufy3	316	237	185	209	197	162	110	40	62	132	123	152	220	205	172
slc4a4a	132	181	32	4	11	12	7	2	11	4	19	11	25	100	56
LOC117819116	3	0	5	0	0	14	3	0	1	0	70	75	29	11	18
npffr2a	0	1	0	45	0	1	1	0	1	2	1	13	1	13	3
adamts3	28	12	9	7	7	6	3	8	6	7	69	65	39	66	23
LOC117819370	0	0	0	0	1	1	0	0	0	0	0	1	1	2	0
smarca2	41	46	40	12	43	75	14	9	21	102	733	471	411	312	111
dmrt2a	1	1	1	0	5	1	1	0	3	1	4	4	3	12	5
dmrt3a	72	13	20	15	12	69	38	57	26	41	37	27	61	106	46
dmrt1	107	265	70	72	190	1168	43	32	55	236	1285	1219	2969	2667	1467
LOC117818677	2	0	31	1	4	169	6	3	1	0	2086	2364	728	605	209
kank1a	1294	734	960	895	1072	268	498	166	168	496	33	30	34	162	58
LOC117819337	353	637	334	344	377	695	247	222	205	265	70	153	428	441	229
LOC117818345	3	0	1	3	8	4	47	1	0	9	0	1	0	0	0
fbp2	11	89	18	1	12	46	47	53	67	1	6	3	18	19	12
ctsla	3308	3087	2336	3563	3421	4860	1959	1037	1089	2789	4665	7125	5395	2036	1563
dapk1	204	315	76	75	147	212	31	18	19	28	102	81	262	229	112
trnae-cuc_36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117819545	22	30	16	3	14	36	8	3	10	15	17	11	40	124	43
LOC117818936	211	210	117	92	104	123	45	32	47	69	194	170	242	195	129
LOC117819028	1	0	0	0	0	3	3	18	1	2	9	28	7	5	5
ckap2l	1360	1070	1480	1025	1571	1007	817	508	391	955	2400	1948	1963	714	493
LOC117818988	28	67	28	125	54	1752	262	252	546	242	362	1233	1669	6176	4376
purba	107	144	30	40	34	257	42	39	75	37	303	406	391	363	288
LOC117819008	1573	3021	1269	1215	1428	6183	959	618	575	745	16392	16805	12098	7900	8334
hs3st1l2	2	7	0	0	0	12	3	0	3	1	13	22	60	111	48
endog	192	241	86	219	131	122	75	11	29	133	47	42	72	158	65
LOC117819058	0	0	0	0	1	0	0	0	0	0	0	0	1	7	2
LOC117819049	0	3	0	0	1	0	1	0	0	1	29	0	1	8	4
LOC117819051	2	8	0	1	12	2	1	3	0	1	2	5	12	6	23
LOC117819639	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC117819055	0	4	3	2	4	6	4	1	1	0	1	1	4	7	8
LOC117819638	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0
LOC117819052	0	4	0	0	6	2	1	1	0	0	0	1	4	0	4
LOC117818552	2	11	0	0	9	1	0	2	0	0	1	1	1	6	2
LOC117819640	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117819666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC117819054	0	0	0	0	1	2	0	1	0	0	1	0	1	1	0
LOC117819056	0	0	0	1	0	1	1	0	0	0	0	0	0	8	2
LOC117819053	0	3	0	0	8	0	0	0	2	0	0	0	0	17	0
LOC117818553	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0
LOC117819050	14	13	14	6	6	12	3	2	2	3	53	37	80	72	28
si:dkey-13n15.2	184	114	172	206	292	125	144	64	77	173	479	331	188	150	88
LOC117818719	195	168	108	115	279	229	50	27	28	49	1118	674	783	840	392
LOC117818720	0	29	1	1	0	0	5	0	0	1	2	3	0	5	3
LOC117818721	0	6	0	2	13	2	0	0	1	0	0	0	5	4	1
LOC117819593	0	1	0	0	4	0	2	2	0	0	1	1	3	8	2
LOC117818554	0	1	0	0	7	2	1	0	0	0	0	0	1	2	1
LOC117819591	0	1	0	0	1	2	4	0	0	0	0	1	0	11	1
si:dkey-174n20.1	144	110	89	127	121	112	79	36	64	78	212	214	120	88	67
susd2	2	2	3	12	6	8	6	0	0	0	10	16	40	63	21
kremen1	2	0	1	0	0	1	1	0	1	0	0	14	4	12	2
coq5	151	243	63	91	69	263	49	25	69	40	186	195	394	545	278
znrf3	80	128	16	28	44	46	9	10	6	8	23	25	47	81	24
xbp1	357	339	211	304	223	982	356	788	513	260	313	475	992	1252	990
si:dkey-1k23.3	0	0	1	1	2	2	0	0	0	0	1	3	1	9	2
hspb8	20	26	3	4	7	26	2	4	4	4	3	6	30	40	13
srrm4	0	0	0	0	0	2	0	0	1	1	0	0	0	4	1
suds3	630	555	702	612	781	614	571	306	354	679	636	611	944	796	615
taok3a	66	61	67	37	103	78	53	36	25	45	57	81	186	428	127
trnae-cuc_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pebp1	460	589	381	497	524	909	417	453	286	265	423	496	1027	1215	662
vsig10	102	130	79	97	112	117	83	95	61	71	132	107	136	347	144
LOC117819160	0	0	1	0	1	0	0	1	0	0	1	6	1	15	2
rfc5	183	172	154	145	120	113	74	59	65	121	350	288	448	309	136
ksr2	85	47	13	23	98	28	16	11	15	13	70	62	57	77	34
nos1	54	24	8	16	10	17	9	1	9	7	10	10	20	105	35
lrrc74b	0	0	0	0	1	1	0	1	0	0	0	0	4	5	1
LOC117819307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nipsnap1	318	594	294	247	275	308	220	116	118	174	96	78	95	132	74
castor1	284	473	178	189	173	196	79	25	45	73	92	92	264	569	231
spring1	172	368	189	178	215	283	133	115	106	111	169	128	130	169	108
rnft2	118	75	112	101	115	49	141	48	54	107	41	31	56	97	55
LOC117818926	11	14	3	6	8	14	1	9	27	14	0	4	3	22	7
fbxw8	155	145	153	181	140	139	87	72	53	91	113	87	131	240	95
tesca	8	9	8	4	3	26	19	22	66	2	23	17	93	322	114
fbxo21	365	290	247	372	394	173	186	100	73	206	199	269	307	450	161
nf2a	28	29	12	25	29	31	7	4	3	8	42	19	42	86	43
LOC117819180	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1
zgc:112294	0	0	0	0	0	1	0	1	0	0	0	1	0	20	2
selenoe	1	4	2	0	8	8	2	1	15	0	1	1	8	169	179
scarf2	9	22	2	5	7	60	9	13	10	18	17	20	72	142	43
prodhb	0	0	0	0	0	1	0	0	0	0	1	0	3	3	2
rtn4r	0	1	1	1	1	3	0	0	4	0	7	11	19	36	24
LOC117819530	3	2	0	1	5	9	0	1	0	0	0	0	0	1	0
LOC117819532	0	0	0	0	0	0	0	0	0	0	1	3	3	2	0
LOC117819529	1	0	0	1	0	11	3	6	4	0	3	10	21	24	20
LOC117819566	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
LOC117819354	1	0	0	0	0	4	0	0	1	0	0	3	0	1	1
LOC117819024	141	66	57	19	52	23	19	11	17	18	0	0	0	4	0
LOC117819263	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
hscb	381	709	210	244	253	467	190	143	137	158	70	69	128	117	71
LOC117818910	47	67	13	21	18	50	13	4	15	11	107	92	191	241	121
ppil3	1533	2803	1381	1241	1615	2443	1082	891	597	904	340	328	418	468	374
zgc:101858	244	210	172	112	75	389	93	60	169	286	260	365	506	560	463
col27a1b	12	17	17	13	34	13	25	9	19	19	64	45	63	363	88
LOC117818424	0	0	1	1	0	0	2	2	0	0	9	9	14	72	17
LOC117818832	83	72	176	150	181	81	163	82	81	116	7	4	3	8	4
si:dkey-21e5.1	6	4	3	4	5	23	5	0	3	3	98	56	84	210	65
LOC117819261	0	2	0	0	0	0	1	0	0	0	17	6	2	5	2
LOC117818557	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
camsap1b	414	375	261	234	357	195	60	16	37	82	1251	810	735	528	252
ubac1	105	67	45	69	41	81	34	20	14	28	418	376	351	180	117
LOC117818618	39	38	7	18	20	55	21	9	75	25	121	87	451	834	316
LOC117818514	0	2	0	2	0	15	0	0	1	0	4	2	2	17	10
inpp5e	60	55	135	75	89	124	79	39	33	64	1456	1556	999	339	177
pmpca	856	737	407	342	430	563	140	93	77	176	483	495	629	671	353
LOC117818562	15	15	4	12	18	2	5	0	1	6	12	7	12	17	12
ptgs1	45	69	117	48	60	95	103	101	119	84	56	26	33	69	35
LOC117819631	0	5	1	3	0	1	0	3	7	2	0	1	2	1	1
si:ch211-236k19.2	9	17	29	19	35	5	53	22	10	30	6	6	10	27	7
LOC117819630	0	0	0	0	0	0	0	0	0	0	2	4	0	12	2
krt1-c5	2	2	4	1	0	0	2	0	0	0	192	9	26	48	40
LOC117819620	0	1	1	3	1	163	3	0	7	1	1815	1521	1626	655	329
LOC117819629	3	6	1	14	14	6	24	10	8	5	5	4	0	3	2
tal2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC117819625	3	1	1	1	0	8	5	3	2	2	1	1	2	15	11
LOC117819624	2	3	0	2	0	4	1	2	1	0	40	7	15	37	6
zgc:152968	2960	2102	2250	2412	2959	1726	862	355	395	848	1027	936	952	940	423
poli	98	89	142	103	149	179	61	24	37	75	339	204	502	525	282
LOC117819634	0	2	0	1	2	4	1	0	2	0	8	5	8	11	9
LOC117819633	0	1	0	1	1	6	2	0	2	0	9	13	18	72	30
LOC117818816	128	141	98	108	65	197	35	29	26	52	221	174	325	546	226
LOC117818814	283	232	312	303	363	182	336	167	119	351	1467	1099	905	309	195
zgc:158260	0	0	0	0	0	4	0	0	0	0	11	16	8	3	4
scarb2a	595	807	131	157	191	876	91	85	119	131	684	452	1016	1407	692
LOC117819331	0	0	1	2	1	1	0	0	4	2	3	8	15	16	6
LOC117819332	177	402	278	291	403	177	210	124	180	191	21	43	124	216	130
LOC117819042	1	1	0	0	0	3	1	0	1	0	24	3	26	42	46
hint2	30	52	44	43	46	107	33	25	75	31	191	135	287	347	184
mrps30	714	926	1029	946	1141	768	718	325	630	861	418	452	550	398	216
emb	0	1	1	4	0	16	9	14	10	4	6	26	65	36	34
malt1	44	56	78	44	58	74	75	65	64	73	49	44	160	233	143
prlrb	0	1	1	0	0	5	0	0	1	0	12	6	5	10	4
LOC117818430	0	0	0	0	0	0	0	0	0	0	11	11	7	0	6
LOC117819309	229	266	71	91	86	143	16	8	15	22	197	194	267	316	177
mfsd10	86	106	32	66	46	91	34	22	19	31	42	44	176	194	86
LOC117818654	394	610	118	128	218	382	17	12	25	29	387	308	370	341	221
coq2	111	152	62	71	136	124	75	28	39	72	57	49	115	147	76
gldc	496	384	200	267	448	251	108	33	33	146	229	99	369	324	103
zgc:114041	1168	926	970	1185	1304	587	821	372	326	605	262	288	146	198	88
jak2b	54	70	16	18	12	80	13	5	7	9	199	195	304	392	156
LOC117818303	8	10	2	3	10	18	0	1	3	2	22	20	54	36	24
LOC117818304	0	0	1	1	1	8	0	0	1	0	2	5	4	16	11
LOC117818254	7	6	0	0	0	3	0	0	0	0	15	28	22	46	4
LOC117818563	1	2	0	0	0	0	0	0	1	0	3	6	9	4	0
aacs	34	57	11	12	20	75	12	8	18	9	122	137	177	184	124
LOC117818564	24	13	13	6	16	2	1	0	1	2	34	11	24	24	8
LOC117818565	9035	5292	15457	19861	12578	5389	7173	3875	5455	11393	694	559	1174	1317	713
LOC117818321	0	10	12	6	6	9	14	9	6	6	0	1	0	20	5
si:dkey-283b1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
erap1b	60	91	44	31	15	99	31	32	49	22	85	100	298	514	230
naaladl1	95	61	43	55	56	16	22	16	20	5	3	3	1	12	1
LOC117818662	548	500	181	239	273	448	90	29	50	69	3365	1917	1819	687	410
ccdc84	131	281	158	138	106	293	94	101	44	102	359	355	270	355	205
si:ch73-130a3.4	193	428	357	429	449	448	440	401	265	350	30	51	83	189	121
LOC117818378	16	40	18	13	10	29	5	5	7	7	35	35	48	75	31
LOC117818377	7	7	8	2	8	10	3	4	6	3	68	42	60	66	45
LOC117818382	12	23	5	4	1	47	6	0	4	1	98	76	63	137	63
LOC117818379	388	626	301	184	156	289	71	29	28	105	101	81	113	196	83
LOC117818380	1	4	2	0	3	5	0	0	1	0	2	2	8	17	10
LOC117818384	4	4	5	0	1	21	1	4	10	4	6	12	17	34	15
LOC117818383	310	306	156	115	202	336	32	21	10	40	69	102	73	130	33
LOC117818386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117818566	247	637	120	144	170	647	50	40	34	60	138	146	180	392	192
LOC117818376	53	110	38	47	54	58	9	11	11	23	82	38	56	139	68
LOC117819470	5	5	4	3	4	27	2	2	2	3	0	5	3	15	15
LOC117819471	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gas1a	25	63	12	23	27	187	17	19	42	9	45	45	143	274	136
tars1	681	733	462	573	519	733	374	275	243	372	981	793	1364	1190	787
LOC117819465	0	0	0	0	0	0	0	0	0	0	2	3	5	0	2
tmem8b	37	20	11	17	40	23	5	7	16	13	99	79	108	96	29
mccc2	695	882	536	566	576	639	299	164	130	317	726	694	854	647	423
LOC117819451	39	50	49	52	16	39	27	14	11	26	55	68	86	226	66
psat1	916	954	678	705	1133	942	604	467	399	678	705	681	1299	818	624
kiss1rb	0	0	0	0	0	3	0	1	0	0	390	310	292	106	56
isca1	377	626	296	325	289	412	89	83	85	138	1124	1158	636	420	244
tut7	1815	1381	1322	1587	2052	751	527	147	212	607	1296	628	1084	989	541
LOC117819102	0	0	0	0	1	2	1	0	0	2	20	10	12	30	7
LOC117819101	0	4	1	1	2	5	1	1	2	0	5	3	8	22	11
LOC117819103	0	0	0	0	1	9	0	0	0	0	46	30	36	30	11
gpx8	36	80	29	34	33	140	46	14	49	26	35	68	137	255	169
LOC117818567	0	0	0	0	0	1	2	1	1	0	0	0	2	6	2
LOC117819296	0	1	0	0	0	2	0	1	0	0	0	1	1	2	3
areg	2	2	0	1	2	2	0	0	2	0	0	0	1	5	1
LOC117819013	2	2	5	2	1	11	10	7	11	5	23	30	46	177	57
epgn	0	0	0	1	0	0	0	1	0	0	3	5	1	7	2
mthfd2l	31	29	65	64	40	73	56	25	51	65	535	349	169	102	85
slc20a2	301	276	224	255	347	191	82	37	40	117	43	42	90	148	110
LOC117818395	180	134	80	68	77	97	54	30	39	55	183	182	292	272	137
lipg	2186	2184	1828	2149	2153	1106	1107	576	579	1170	151	193	129	120	129
si:dkey-193c22.1	24	62	19	18	13	89	21	14	20	11	151	126	127	134	93
cspg4b	14	54	1	6	12	49	4	2	3	4	41	36	92	129	68
snx18a	90	102	34	27	26	98	20	14	15	21	226	172	252	277	130
LOC117818829	43	29	17	20	26	59	14	7	13	15	179	200	173	172	98
ndufs4	304	476	357	342	355	756	349	516	340	396	674	759	710	918	551
LOC117819278	1	0	0	2	0	2	3	0	2	1	11	0	40	102	30
fsta	1	3	2	7	6	19	1	3	1	1	22	12	22	72	73
itga2.2	34	55	10	10	5	112	11	6	2	4	60	67	321	280	128
paip1	461	674	327	272	271	941	216	90	152	169	2799	2285	1890	1802	1135
LOC117818844	0	1	1	0	0	5	0	3	2	0	28	20	22	14	10
fgf10b	0	1	0	0	0	1	0	0	0	0	0	0	1	3	1
adamts12	47	71	19	17	29	300	8	1	12	12	79	84	419	669	394
agpat9l	985	1402	477	539	598	602	327	174	155	356	132	131	387	293	166
myl7	0	0	0	1	0	1	0	0	0	3	0	0	1	1	0
gck	0	0	0	5	1	65	1	2	1	2	793	706	495	119	152
ykt6	1029	1211	516	522	594	755	363	168	141	338	467	451	628	533	372
sb:cb288	499	600	236	169	383	465	119	101	85	149	26	26	81	161	102
osmr	0	1	1	2	0	15	5	6	2	1	5	9	29	25	19
LOC117819585	8	9	7	7	7	27	13	6	5	2	63	51	152	341	103
utp15	2628	3389	2726	2164	2752	2060	1437	728	530	1641	323	374	640	473	309
LOC117818455	2682	4495	2621	3170	2939	5516	2279	2251	2094	1896	1104	1247	2236	3220	2365
si:dkey-88e18.2	0	0	0	1	0	67	0	1	0	0	16	20	245	33	18
LOC117818451	457	667	280	316	403	813	207	210	163	249	66	82	119	207	126
LOC117818568	0	0	0	0	0	0	0	0	0	0	2	1	1	9	1
LOC117818569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hic2	276	418	146	113	171	189	21	7	13	37	40	34	64	60	32
pi4kab	396	304	284	240	330	159	164	75	84	269	4756	2917	3221	631	365
serpind1	0	0	0	0	0	4	0	0	0	0	34	32	30	9	5
snap29	319	699	266	251	199	632	161	64	82	141	3239	2631	1867	724	605
si:dkey-178e17.3	85	246	0	2	0	473	3	15	6	1	16	9	144	250	438
si:dkey-178e17.1	17	39	0	0	0	12	2	0	0	0	176	127	48	16	20
cltcl1	200	197	36	29	69	101	13	5	19	27	277	300	409	257	102
si:dkeyp-117b11.1	0	0	0	1	0	23	1	4	0	0	1	1	0	4	9
plat	0	4	1	0	0	156	44	42	49	19	17	31	89	105	81
ikbkb	22	32	9	15	17	66	27	29	33	20	118	84	257	257	161
vdac3	1022	1165	1062	781	1039	1093	1067	913	713	1696	82	95	341	499	368
enkd1	21	27	3	12	12	71	5	1	6	7	543	424	262	107	61
polb	170	393	107	109	81	387	45	26	21	41	464	431	303	236	140
dynll1	1292	2038	2151	1617	1594	3654	2391	2306	1678	1599	6009	6539	3854	1844	2156
rpl6	14363	20600	24655	21800	25255	27997	28916	36559	28201	32997	10389	11438	15679	16830	13144
acaa2	713	1061	581	575	545	845	327	216	236	366	264	256	554	333	208
mrpl40	607	908	551	522	559	770	561	553	442	493	77	92	216	290	171
c9h22orf39	231	525	234	167	224	482	226	127	74	146	55	49	61	117	67
ufd1l	595	1022	556	577	758	835	409	280	260	473	2124	2359	2043	1016	571
dhx37	1024	696	865	911	1200	390	591	338	265	757	339	251	405	501	221
gp1bb	0	1	0	1	1	1	1	0	0	1	0	1	1	1	4
sept5a	2	0	4	0	1	10	1	2	5	1	10	7	25	60	63
zgc:63587	114	181	25	54	30	164	45	44	54	37	546	420	463	646	386
cldn5a	5	9	0	5	0	28	2	4	6	8	15	13	45	71	91
cdc45	1079	1681	924	817	1003	1080	785	544	590	766	514	495	659	471	338
plpp5	235	310	96	149	154	152	29	25	26	57	173	143	178	179	112
nsd3	105	114	71	95	85	119	36	24	38	58	533	372	563	776	337
letm2	1322	1358	720	635	877	703	310	172	212	437	1241	892	1130	1338	760
LOC117819555	120	27	83	53	32	23	52	11	26	22	48	21	60	162	56
LOC117818237	60	90	30	39	12	67	7	8	14	23	33	26	38	106	26
sprn2	4	6	9	3	8	8	13	11	7	0	9	3	3	1	0
rassf2b	93	140	29	55	45	178	45	55	42	42	49	117	193	189	157
slc23a2	26	27	12	10	14	8	7	0	6	16	69	38	47	38	21
LOC117819304	0	0	0	0	0	1	0	0	0	0	2	1	1	4	0
kcnip3b	17	9	7	8	3	138	7	3	17	4	37	36	174	311	174
pcna	10767	14973	9476	10286	8892	12472	6633	4681	3125	7501	6130	6256	9052	4701	4486
zgc:152830	2975	3234	3770	3534	3619	3817	3428	2449	2656	3655	622	717	1341	1842	971
fahd2a	380	367	416	379	392	367	285	212	231	340	280	251	479	336	185
gpat2	473	268	356	539	464	726	299	213	216	250	1223	1693	1918	4646	1556
adra2b	2	1	1	4	5	6	9	9	17	1	4	5	13	55	17
dusp2	1356	1725	849	1129	1248	1184	372	124	134	305	22	58	35	29	49
LOC117819124	1	1	0	0	1	148	1	0	3	2	2062	1521	1298	690	358
LOC117819123	96	115	41	48	42	113	28	10	14	25	76	68	165	153	86
LOC117818320	6	13	4	1	1	221	44	64	52	33	10	76	69	90	115
msh3	443	308	444	549	467	285	301	103	166	283	182	158	337	222	136
rasgrf2b	1	0	0	1	0	1	1	0	1	0	5	2	9	26	12
LOC117818963	0	0	0	0	0	0	0	0	0	0	5	2	4	22	6
LOC117818964	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
LOC117819190	1	1	1	0	1	4	1	1	4	0	4	7	21	55	17
LOC117819188	42	30	56	51	52	15	26	13	6	16	73	30	23	27	17
LOC117819187	20	28	4	4	7	56	3	1	11	9	154	154	188	147	114
